order_id,order_date,nsn,item_description,quantity,unit_price,total_price,supplier_id,supplier_name,shipping_code,priority_code,destination,contract_id,days_to_deliver,order_status
DLA-ORD-100011,2025-07-18,4710-01-333-9090,Hydraulic Tube Assembly,28,201.98,5655.44,SUP-001,Mock Vendor X,SC-AIR,03,Port-Hub,CON-3371,12,Delivered
DLA-ORD-100012,2023-11-10,1560-00-221-8740,Aircraft Fastener Set,407,15.38,6259.66,SUP-009,Keystone Tactical Goods,SC-GROUND,04,Port-Hub,CON-4420,19,Delayed
DLA-ORD-100013,2025-01-13,4820-00-111-2222,Legacy Valve,29,553.6,16054.4,SUP-001,Mock Vendor X,SC-AIR,02,FOB-East,CON-3004,18,Delivered
DLA-ORD-100014,2023-09-20,2990-00-832-1190,Fuel Pump Module,700,327.16,229012.0,SUP-009,Keystone Tactical Goods,SC-SEA,03,Aviation-Depot,CON-2375,17,Delivered
DLA-ORD-100015,2025-03-28,6515-01-700-2201,Field Medical Kit,712,50.48,35941.76,SUP-004,Patriot Supply Co,SC-SEA,03,CONUS-Depot,CON-9510,15,Delivered
DLA-ORD-100016,2023-05-01,5340-01-880-0091,Vehicle Mounting Bracket,259,72.75,18842.25,SUP-004,Patriot Supply Co,SC-AIR,03,FOB-West,CON-6102,16,Delivered
DLA-ORD-100017,2024-05-12,6515-01-700-2201,Field Medical Kit,828,46.59,38576.52,SUP-010,Mock Vendor A,SC-GROUND,02,Medical-Depot,CON-9510,13,Delivered
DLA-ORD-100018,2024-11-25,9150-01-123-4567,Turbine Oil,844,21.44,18095.36,SUP-002,Mock Vendor Y,SC-AIR,02,OCONUS-Base,CON-7781,19,Delivered
DLA-ORD-100019,2023-06-04,8415-01-555-1020,Cold Weather Glove Liner,478,8.7,4158.6,SUP-004,Patriot Supply Co,SC-SEA,02,Medical-Depot,CON-6401,22,Delayed
DLA-ORD-100020,2024-03-13,6515-01-700-2201,Field Medical Kit,435,50.56,21993.6,SUP-001,Mock Vendor X,SC-AIR,01,OCONUS-Base,CON-9510,11,Delivered
DLA-ORD-100021,2025-09-23,2990-00-832-1190,Fuel Pump Module,183,335.72,61436.76,SUP-009,Keystone Tactical Goods,SC-SEA,01,Medical-Depot,CON-2375,17,Delivered
DLA-ORD-100022,2025-11-06,4820-00-111-2222,Legacy Valve,3,535.56,1606.68,SUP-009,Keystone Tactical Goods,SC-AIR,01,Aviation-Depot,CON-3004,22,Delivered
DLA-ORD-100023,2023-03-23,5320-00-987-6543,Rivet Assembly,659,0.84,553.56,SUP-010,Mock Vendor A,SC-AIR,04,FOB-West,CON-8892,19,Delivered
DLA-ORD-100024,2024-09-06,6515-01-700-2201,Field Medical Kit,493,42.79,21095.47,SUP-003,Mock Vendor Z,SC-SEA,01,OCONUS-Base,CON-9510,23,Delivered
DLA-ORD-100025,2025-11-02,4820-00-111-2222,Legacy Valve,9,463.99,4175.91,SUP-002,Mock Vendor Y,SC-GROUND,01,FOB-East,CON-3004,16,In Transit
DLA-ORD-100026,2026-02-09,1560-00-221-8740,Aircraft Fastener Set,331,18.43,6100.33,SUP-009,Keystone Tactical Goods,SC-AIR,05,FOB-West,CON-4420,25,Delivered
DLA-ORD-100027,2024-03-07,5320-00-987-6543,Rivet Assembly,759,0.92,698.28,SUP-003,Mock Vendor Z,SC-AIR,05,Port-Hub,CON-8892,16,In Transit
DLA-ORD-100028,2024-11-14,5320-00-987-6543,Rivet Assembly,814,0.85,691.9,SUP-005,Liberty Industrial,SC-AIR,02,OCONUS-Base,CON-8892,10,Delivered
DLA-ORD-100029,2023-11-02,5998-01-444-1122,Control Circuit Card,583,813.2,474095.6,SUP-002,Mock Vendor Y,SC-AIR,04,OCONUS-Base,CON-1129,20,Delayed
DLA-ORD-100030,2023-07-30,9150-01-123-4567,Turbine Oil,387,20.04,7755.48,SUP-004,Patriot Supply Co,SC-GROUND,03,Port-Hub,CON-7781,17,Delivered
DLA-ORD-100031,2023-02-20,6515-01-700-2201,Field Medical Kit,208,46.49,9669.92,SUP-003,Mock Vendor Z,SC-SEA,05,Aviation-Depot,CON-9510,21,Delivered
DLA-ORD-100032,2023-03-21,8415-01-555-1020,Cold Weather Glove Liner,506,7.84,3967.04,SUP-002,Mock Vendor Y,SC-GROUND,03,FOB-West,CON-6401,12,In Transit
DLA-ORD-100033,2024-07-24,6515-01-700-2201,Field Medical Kit,96,49.26,4728.96,SUP-004,Patriot Supply Co,SC-GROUND,04,OCONUS-Base,CON-9510,11,Delivered
DLA-ORD-100034,2024-01-01,9150-01-123-4567,Turbine Oil,619,21.52,13320.88,SUP-001,Mock Vendor X,SC-EXPEDITE,02,OCONUS-Base,CON-7781,5,Delivered
DLA-ORD-100035,2026-03-26,4710-01-333-9090,Hydraulic Tube Assembly,219,190.81,41787.39,SUP-009,Keystone Tactical Goods,SC-AIR,01,Aviation-Depot,CON-3371,17,Delivered
DLA-ORD-100036,2024-11-07,6515-01-700-2201,Field Medical Kit,663,43.3,28707.9,SUP-002,Mock Vendor Y,SC-EXPEDITE,04,FOB-West,CON-9510,16,Delivered
DLA-ORD-100037,2024-01-28,5998-01-444-1122,Control Circuit Card,455,983.8,447629.0,SUP-005,Liberty Industrial,SC-GROUND,04,FOB-East,CON-1129,7,Delivered
DLA-ORD-100038,2024-10-21,9150-01-123-4567,Turbine Oil,501,19.42,9729.42,SUP-004,Patriot Supply Co,SC-GROUND,03,Aviation-Depot,CON-7781,12,Delayed
DLA-ORD-100039,2024-11-17,8415-01-555-1020,Cold Weather Glove Liner,120,8.86,1063.2,SUP-005,Liberty Industrial,SC-GROUND,04,FOB-East,CON-6401,10,Delivered
DLA-ORD-100040,2026-03-24,2990-00-832-1190,Fuel Pump Module,224,411.57,92191.68,SUP-002,Mock Vendor Y,SC-GROUND,03,FOB-East,CON-2375,15,Delivered
DLA-ORD-100041,2024-03-24,9150-01-123-4567,Turbine Oil,205,21.94,4497.7,SUP-002,Mock Vendor Y,SC-SEA,03,Port-Hub,CON-7781,18,Delivered
DLA-ORD-100042,2025-06-25,2990-00-832-1190,Fuel Pump Module,652,393.04,256262.08,SUP-009,Keystone Tactical Goods,SC-GROUND,03,Port-Hub,CON-2375,31,Delivered
DLA-ORD-100043,2024-05-21,8415-01-555-1020,Cold Weather Glove Liner,885,8.85,7832.25,SUP-008,Atlas Defense Supply,SC-GROUND,03,Medical-Depot,CON-6401,13,Delivered
DLA-ORD-100044,2023-06-15,6515-01-700-2201,Field Medical Kit,166,41.18,6835.88,SUP-006,Eagle Federal Logistics,SC-SEA,02,FOB-East,CON-9510,32,Delivered
DLA-ORD-100045,2024-02-28,5998-01-444-1122,Control Circuit Card,877,955.76,838201.52,SUP-008,Atlas Defense Supply,SC-AIR,04,Medical-Depot,CON-1129,21,Delivered
DLA-ORD-100046,2025-03-09,2990-00-832-1190,Fuel Pump Module,898,406.52,365054.96,SUP-001,Mock Vendor X,SC-AIR,03,Medical-Depot,CON-2375,13,Delivered
DLA-ORD-100047,2025-06-11,4820-00-111-2222,Legacy Valve,16,468.82,7501.12,SUP-008,Atlas Defense Supply,SC-AIR,04,OCONUS-Base,CON-3004,11,Delayed
DLA-ORD-100048,2023-02-25,4820-00-111-2222,Legacy Valve,3,490.66,1471.98,SUP-007,Blue Ridge Components,SC-GROUND,03,CONUS-Depot,CON-3004,12,Delivered
DLA-ORD-100049,2025-02-15,4710-01-333-9090,Hydraulic Tube Assembly,309,199.02,61497.18,SUP-006,Eagle Federal Logistics,SC-AIR,02,CONUS-Depot,CON-3371,21,Delivered
DLA-ORD-100050,2023-03-24,4710-01-333-9090,Hydraulic Tube Assembly,797,160.48,127902.56,SUP-002,Mock Vendor Y,SC-SEA,04,Port-Hub,CON-3371,19,Delivered
DLA-ORD-100051,2024-03-22,8415-01-555-1020,Cold Weather Glove Liner,501,9.01,4514.01,SUP-002,Mock Vendor Y,SC-GROUND,02,Port-Hub,CON-6401,24,In Transit
DLA-ORD-100052,2024-09-30,8415-01-555-1020,Cold Weather Glove Liner,614,8.47,5200.58,SUP-002,Mock Vendor Y,SC-GROUND,03,Medical-Depot,CON-6401,16,Delivered
DLA-ORD-100053,2024-09-09,4820-00-111-2222,Legacy Valve,28,492.58,13792.24,SUP-004,Patriot Supply Co,SC-AIR,04,Port-Hub,CON-3004,15,Delivered
DLA-ORD-100054,2023-01-26,4710-01-333-9090,Hydraulic Tube Assembly,894,169.05,151130.7,SUP-001,Mock Vendor X,SC-GROUND,03,FOB-West,CON-3371,8,Delivered
DLA-ORD-100055,2025-12-04,2990-00-832-1190,Fuel Pump Module,691,351.81,243100.71,SUP-007,Blue Ridge Components,SC-AIR,03,OCONUS-Base,CON-2375,12,Delivered
DLA-ORD-100056,2025-07-12,4710-01-333-9090,Hydraulic Tube Assembly,274,195.24,53495.76,SUP-002,Mock Vendor Y,SC-GROUND,04,FOB-West,CON-3371,19,Delivered
DLA-ORD-100057,2024-06-13,4710-01-333-9090,Hydraulic Tube Assembly,373,173.57,64741.61,SUP-004,Patriot Supply Co,SC-GROUND,05,Port-Hub,CON-3371,24,Delivered
DLA-ORD-100058,2025-10-02,5998-01-444-1122,Control Circuit Card,483,1018.28,491829.24,SUP-004,Patriot Supply Co,SC-GROUND,02,Medical-Depot,CON-1129,15,Delivered
DLA-ORD-100059,2025-05-21,4820-00-111-2222,Legacy Valve,24,526.76,12642.24,SUP-009,Keystone Tactical Goods,SC-GROUND,03,FOB-West,CON-3004,23,Delivered
DLA-ORD-100060,2025-09-18,5320-00-987-6543,Rivet Assembly,308,0.98,301.84,SUP-003,Mock Vendor Z,SC-AIR,03,FOB-West,CON-8892,27,Cancelled
DLA-ORD-100061,2023-01-29,6515-01-700-2201,Field Medical Kit,750,44.1,33075.0,SUP-006,Eagle Federal Logistics,SC-AIR,05,Port-Hub,CON-9510,25,Delivered
DLA-ORD-100062,2024-08-05,2990-00-832-1190,Fuel Pump Module,505,345.68,174568.4,SUP-001,Mock Vendor X,SC-AIR,05,FOB-West,CON-2375,21,Delayed
DLA-ORD-100063,2025-10-04,2990-00-832-1190,Fuel Pump Module,100,363.18,36318.0,SUP-001,Mock Vendor X,SC-AIR,02,Aviation-Depot,CON-2375,8,Cancelled
DLA-ORD-100064,2024-04-07,5320-00-987-6543,Rivet Assembly,819,0.96,786.24,SUP-007,Blue Ridge Components,SC-GROUND,03,Aviation-Depot,CON-8892,18,Delivered
DLA-ORD-100065,2023-07-23,5998-01-444-1122,Control Circuit Card,806,849.94,685051.64,SUP-010,Mock Vendor A,SC-AIR,04,FOB-East,CON-1129,17,Delivered
DLA-ORD-100066,2023-03-08,5998-01-444-1122,Control Circuit Card,262,893.91,234204.42,SUP-010,Mock Vendor A,SC-GROUND,05,CONUS-Depot,CON-1129,22,Delivered
DLA-ORD-100067,2024-02-10,1560-00-221-8740,Aircraft Fastener Set,460,14.47,6656.2,SUP-010,Mock Vendor A,SC-GROUND,02,FOB-West,CON-4420,17,Delivered
DLA-ORD-100068,2025-06-18,1560-00-221-8740,Aircraft Fastener Set,152,16.19,2460.88,SUP-010,Mock Vendor A,SC-EXPEDITE,03,FOB-West,CON-4420,15,Delivered
DLA-ORD-100069,2025-06-03,2990-00-832-1190,Fuel Pump Module,777,361.51,280893.27,SUP-010,Mock Vendor A,SC-AIR,02,Medical-Depot,CON-2375,19,Delayed
DLA-ORD-100070,2025-06-24,1560-00-221-8740,Aircraft Fastener Set,309,15.23,4706.07,SUP-003,Mock Vendor Z,SC-GROUND,04,OCONUS-Base,CON-4420,20,Delayed
DLA-ORD-100071,2023-08-03,2990-00-832-1190,Fuel Pump Module,189,321.91,60840.99,SUP-006,Eagle Federal Logistics,SC-AIR,03,OCONUS-Base,CON-2375,29,Delivered
DLA-ORD-100072,2025-04-07,4710-01-333-9090,Hydraulic Tube Assembly,551,309.91,170760.41,SUP-002,Mock Vendor Y,SC-EXPEDITE,03,CONUS-Depot,CON-3371,13,Delivered
DLA-ORD-100073,2023-04-16,4710-01-333-9090,Hydraulic Tube Assembly,233,168.99,39374.67,SUP-008,Atlas Defense Supply,SC-GROUND,03,Medical-Depot,CON-3371,12,Delivered
DLA-ORD-100074,2026-02-05,6515-01-700-2201,Field Medical Kit,442,45.96,20314.32,SUP-005,Liberty Industrial,SC-GROUND,05,OCONUS-Base,CON-9510,10,Delayed
DLA-ORD-100075,2024-07-13,8415-01-555-1020,Cold Weather Glove Liner,450,8.93,4018.5,SUP-005,Liberty Industrial,SC-GROUND,02,Port-Hub,CON-6401,11,Delivered
DLA-ORD-100076,2025-04-29,8415-01-555-1020,Cold Weather Glove Liner,373,9.81,3659.13,SUP-005,Liberty Industrial,SC-SEA,04,FOB-West,CON-6401,12,Delivered
DLA-ORD-100077,2025-07-03,4820-00-111-2222,Legacy Valve,18,508.63,9155.34,SUP-008,Atlas Defense Supply,SC-SEA,04,OCONUS-Base,CON-3004,9,Delivered
DLA-ORD-100078,2025-04-21,6515-01-700-2201,Field Medical Kit,69,47.32,3265.08,SUP-004,Patriot Supply Co,SC-SEA,05,OCONUS-Base,CON-9510,15,Delivered
DLA-ORD-100079,2024-11-10,8415-01-555-1020,Cold Weather Glove Liner,127,8.92,1132.84,SUP-001,Mock Vendor X,SC-AIR,03,OCONUS-Base,CON-6401,14,In Transit
DLA-ORD-100080,2024-06-26,8415-01-555-1020,Cold Weather Glove Liner,371,8.66,3212.86,SUP-001,Mock Vendor X,SC-GROUND,02,FOB-West,CON-6401,12,In Transit
DLA-ORD-100081,2025-09-26,5340-01-880-0091,Vehicle Mounting Bracket,579,54.99,31839.21,SUP-006,Eagle Federal Logistics,SC-GROUND,04,FOB-West,CON-6102,34,Delivered
DLA-ORD-100082,2024-09-05,5320-00-987-6543,Rivet Assembly,54,0.82,44.28,SUP-002,Mock Vendor Y,SC-GROUND,03,FOB-West,CON-8892,17,Delivered
DLA-ORD-100083,2024-01-04,6515-01-700-2201,Field Medical Kit,199,42.05,8367.95,SUP-010,Mock Vendor A,SC-GROUND,03,Medical-Depot,CON-9510,17,Delivered
DLA-ORD-100084,2023-01-20,2990-00-832-1190,Fuel Pump Module,848,334.47,283630.56,SUP-008,Atlas Defense Supply,SC-AIR,04,CONUS-Depot,CON-2375,21,Delivered
DLA-ORD-100085,2025-05-18,4710-01-333-9090,Hydraulic Tube Assembly,731,182.09,133107.79,SUP-005,Liberty Industrial,SC-GROUND,02,OCONUS-Base,CON-3371,11,Delivered
DLA-ORD-100086,2025-03-21,4710-01-333-9090,Hydraulic Tube Assembly,306,173.82,53188.92,SUP-005,Liberty Industrial,SC-AIR,04,CONUS-Depot,CON-3371,8,Delayed
DLA-ORD-100087,2024-04-16,2990-00-832-1190,Fuel Pump Module,646,385.83,249246.18,SUP-005,Liberty Industrial,SC-SEA,02,FOB-West,CON-2375,7,Delivered
DLA-ORD-100088,2025-06-21,8415-01-555-1020,Cold Weather Glove Liner,59,8.99,530.41,SUP-001,Mock Vendor X,SC-AIR,02,FOB-West,CON-6401,6,Delivered
DLA-ORD-100089,2026-01-09,5998-01-444-1122,Control Circuit Card,399,1026.41,409537.59,SUP-001,Mock Vendor X,SC-AIR,04,FOB-West,CON-1129,20,Delayed
DLA-ORD-100090,2025-08-17,1560-00-221-8740,Aircraft Fastener Set,102,14.67,1496.34,SUP-006,Eagle Federal Logistics,SC-SEA,05,Medical-Depot,CON-4420,23,Delivered
DLA-ORD-100091,2025-03-19,5998-01-444-1122,Control Circuit Card,39,972.56,37929.84,SUP-009,Keystone Tactical Goods,SC-AIR,03,Medical-Depot,CON-1129,21,In Transit
DLA-ORD-100092,2023-02-21,4710-01-333-9090,Hydraulic Tube Assembly,659,187.8,123760.2,SUP-001,Mock Vendor X,SC-AIR,05,FOB-East,CON-3371,7,Delivered
DLA-ORD-100093,2023-08-27,2990-00-832-1190,Fuel Pump Module,168,465.45,78195.6,SUP-005,Liberty Industrial,SC-GROUND,02,FOB-East,CON-2375,11,Delivered
DLA-ORD-100094,2023-07-22,5340-01-880-0091,Vehicle Mounting Bracket,878,56.58,49677.24,SUP-003,Mock Vendor Z,SC-SEA,05,CONUS-Depot,CON-6102,23,Delivered
DLA-ORD-100095,2023-07-23,6515-01-700-2201,Field Medical Kit,727,42.15,30643.05,SUP-004,Patriot Supply Co,SC-SEA,04,CONUS-Depot,CON-9510,12,Delivered
DLA-ORD-100096,2023-02-13,2990-00-832-1190,Fuel Pump Module,76,361.67,27486.92,SUP-001,Mock Vendor X,SC-AIR,02,Port-Hub,CON-2375,13,Delivered
DLA-ORD-100097,2024-04-22,5340-01-880-0091,Vehicle Mounting Bracket,361,64.93,23439.73,SUP-004,Patriot Supply Co,SC-SEA,04,FOB-West,CON-6102,16,Delivered
DLA-ORD-100098,2023-02-22,1560-00-221-8740,Aircraft Fastener Set,159,13.66,2171.94,SUP-002,Mock Vendor Y,SC-GROUND,02,FOB-West,CON-4420,16,Delivered
DLA-ORD-100099,2025-12-13,1560-00-221-8740,Aircraft Fastener Set,141,17.05,2404.05,SUP-001,Mock Vendor X,SC-GROUND,04,Port-Hub,CON-4420,8,Delivered
DLA-ORD-100100,2025-12-03,4820-00-111-2222,Legacy Valve,10,505.56,5055.6,SUP-001,Mock Vendor X,SC-GROUND,01,OCONUS-Base,CON-3004,9,In Transit
DLA-ORD-100101,2025-06-27,5998-01-444-1122,Control Circuit Card,100,1073.42,107342.0,SUP-008,Atlas Defense Supply,SC-SEA,02,FOB-East,CON-1129,12,Delivered
DLA-ORD-100102,2025-07-18,4710-01-333-9090,Hydraulic Tube Assembly,542,189.31,102606.02,SUP-010,Mock Vendor A,SC-GROUND,04,Aviation-Depot,CON-3371,22,Delivered
DLA-ORD-100103,2024-04-12,5340-01-880-0091,Vehicle Mounting Bracket,448,59.71,26750.08,SUP-004,Patriot Supply Co,SC-GROUND,03,CONUS-Depot,CON-6102,13,Delivered
DLA-ORD-100104,2023-06-24,8415-01-555-1020,Cold Weather Glove Liner,120,8.01,961.2,SUP-008,Atlas Defense Supply,SC-AIR,03,FOB-East,CON-6401,16,Delivered
DLA-ORD-100105,2023-09-08,4820-00-111-2222,Legacy Valve,14,442.57,6195.98,SUP-009,Keystone Tactical Goods,SC-AIR,04,Aviation-Depot,CON-3004,25,Delivered
DLA-ORD-100106,2023-11-13,1560-00-221-8740,Aircraft Fastener Set,697,14.61,10183.17,SUP-010,Mock Vendor A,SC-GROUND,03,Port-Hub,CON-4420,16,Delivered
DLA-ORD-100107,2026-02-14,1560-00-221-8740,Aircraft Fastener Set,51,17.41,887.91,SUP-007,Blue Ridge Components,SC-SEA,04,CONUS-Depot,CON-4420,22,Delivered
DLA-ORD-100108,2026-03-05,4710-01-333-9090,Hydraulic Tube Assembly,698,195.34,136347.32,SUP-003,Mock Vendor Z,SC-SEA,04,CONUS-Depot,CON-3371,30,Delivered
DLA-ORD-100109,2023-11-19,5340-01-880-0091,Vehicle Mounting Bracket,403,54.69,22040.07,SUP-007,Blue Ridge Components,SC-GROUND,05,Port-Hub,CON-6102,21,Delivered
DLA-ORD-100110,2025-06-26,4820-00-111-2222,Legacy Valve,22,504.62,11101.64,SUP-001,Mock Vendor X,SC-AIR,03,FOB-East,CON-3004,12,Delivered
DLA-ORD-100111,2025-09-23,5320-00-987-6543,Rivet Assembly,564,0.97,547.08,SUP-002,Mock Vendor Y,SC-GROUND,03,Port-Hub,CON-8892,20,Delayed
DLA-ORD-100112,2023-01-16,8415-01-555-1020,Cold Weather Glove Liner,534,8.39,4480.26,SUP-005,Liberty Industrial,SC-AIR,03,Medical-Depot,CON-6401,10,Delivered
DLA-ORD-100113,2023-03-28,5340-01-880-0091,Vehicle Mounting Bracket,471,53.39,25146.69,SUP-006,Eagle Federal Logistics,SC-AIR,05,Port-Hub,CON-6102,24,Delivered
DLA-ORD-100114,2024-10-27,1560-00-221-8740,Aircraft Fastener Set,200,16.06,3212.0,SUP-001,Mock Vendor X,SC-AIR,04,FOB-West,CON-4420,13,Delivered
DLA-ORD-100115,2023-06-11,5320-00-987-6543,Rivet Assembly,430,0.96,412.8,SUP-010,Mock Vendor A,SC-GROUND,02,Aviation-Depot,CON-8892,19,Delivered
DLA-ORD-100116,2023-10-30,5340-01-880-0091,Vehicle Mounting Bracket,266,51.78,13773.48,SUP-006,Eagle Federal Logistics,SC-AIR,02,FOB-East,CON-6102,32,In Transit
DLA-ORD-100117,2025-10-08,5320-00-987-6543,Rivet Assembly,500,0.98,490.0,SUP-001,Mock Vendor X,SC-GROUND,03,Port-Hub,CON-8892,4,Delivered
DLA-ORD-100118,2025-06-24,4710-01-333-9090,Hydraulic Tube Assembly,671,180.77,121296.67,SUP-001,Mock Vendor X,SC-AIR,01,Port-Hub,CON-3371,2,Delivered
DLA-ORD-100119,2024-08-10,2990-00-832-1190,Fuel Pump Module,103,356.19,36687.57,SUP-001,Mock Vendor X,SC-AIR,02,Port-Hub,CON-2375,7,Delivered
DLA-ORD-100120,2024-10-20,9150-01-123-4567,Turbine Oil,644,19.54,12583.76,SUP-010,Mock Vendor A,SC-GROUND,01,CONUS-Depot,CON-7781,16,In Transit
DLA-ORD-100121,2023-12-20,4710-01-333-9090,Hydraulic Tube Assembly,65,165.68,10769.2,SUP-002,Mock Vendor Y,SC-GROUND,03,Port-Hub,CON-3371,15,Delayed
DLA-ORD-100122,2023-04-18,5998-01-444-1122,Control Circuit Card,833,963.05,802220.65,SUP-006,Eagle Federal Logistics,SC-SEA,03,Port-Hub,CON-1129,25,Delivered
DLA-ORD-100123,2024-11-13,1560-00-221-8740,Aircraft Fastener Set,108,15.55,1679.4,SUP-010,Mock Vendor A,SC-SEA,03,Medical-Depot,CON-4420,15,Delivered
DLA-ORD-100124,2024-11-03,5320-00-987-6543,Rivet Assembly,857,0.84,719.88,SUP-007,Blue Ridge Components,SC-GROUND,05,Medical-Depot,CON-8892,16,Delayed
DLA-ORD-100125,2023-02-07,5320-00-987-6543,Rivet Assembly,396,0.86,340.56,SUP-007,Blue Ridge Components,SC-GROUND,03,Aviation-Depot,CON-8892,17,Delivered
DLA-ORD-100126,2026-01-10,5320-00-987-6543,Rivet Assembly,880,1.04,915.2,SUP-002,Mock Vendor Y,SC-GROUND,04,Aviation-Depot,CON-8892,18,Delivered
DLA-ORD-100127,2023-12-06,4820-00-111-2222,Legacy Valve,24,464.46,11147.04,SUP-003,Mock Vendor Z,SC-AIR,04,FOB-East,CON-3004,30,Delivered
DLA-ORD-100128,2025-08-18,2990-00-832-1190,Fuel Pump Module,880,338.32,297721.6,SUP-004,Patriot Supply Co,SC-GROUND,04,OCONUS-Base,CON-2375,13,Delivered
DLA-ORD-100129,2023-11-28,1560-00-221-8740,Aircraft Fastener Set,861,13.93,11993.73,SUP-009,Keystone Tactical Goods,SC-GROUND,05,CONUS-Depot,CON-4420,18,Delivered
DLA-ORD-100130,2024-08-06,5320-00-987-6543,Rivet Assembly,110,0.95,104.5,SUP-009,Keystone Tactical Goods,SC-SEA,05,FOB-East,CON-8892,17,In Transit
DLA-ORD-100131,2024-12-16,5320-00-987-6543,Rivet Assembly,52,0.92,47.84,SUP-004,Patriot Supply Co,SC-SEA,03,OCONUS-Base,CON-8892,18,Delivered
DLA-ORD-100132,2023-10-09,5320-00-987-6543,Rivet Assembly,64,0.83,53.12,SUP-006,Eagle Federal Logistics,SC-SEA,04,FOB-East,CON-8892,27,Delivered
DLA-ORD-100133,2023-02-08,2990-00-832-1190,Fuel Pump Module,287,322.31,92502.97,SUP-001,Mock Vendor X,SC-EXPEDITE,05,Port-Hub,CON-2375,10,Delivered
DLA-ORD-100134,2025-07-25,1560-00-221-8740,Aircraft Fastener Set,89,14.74,1311.86,SUP-001,Mock Vendor X,SC-AIR,04,CONUS-Depot,CON-4420,11,Delivered
DLA-ORD-100135,2023-01-04,4820-00-111-2222,Legacy Valve,20,447.15,8943.0,SUP-003,Mock Vendor Z,SC-AIR,02,Medical-Depot,CON-3004,34,Delivered
DLA-ORD-100136,2025-03-10,5340-01-880-0091,Vehicle Mounting Bracket,506,58.19,29444.14,SUP-009,Keystone Tactical Goods,SC-GROUND,03,Medical-Depot,CON-6102,29,Delivered
DLA-ORD-100137,2024-11-11,5320-00-987-6543,Rivet Assembly,161,0.83,133.63,SUP-002,Mock Vendor Y,SC-SEA,04,FOB-East,CON-8892,20,Cancelled
DLA-ORD-100138,2025-07-26,2990-00-832-1190,Fuel Pump Module,62,349.01,21638.62,SUP-003,Mock Vendor Z,SC-AIR,02,CONUS-Depot,CON-2375,19,Delivered
DLA-ORD-100139,2023-03-16,1560-00-221-8740,Aircraft Fastener Set,796,15.67,12473.32,SUP-009,Keystone Tactical Goods,SC-GROUND,05,CONUS-Depot,CON-4420,26,Delivered
DLA-ORD-100140,2025-03-02,4710-01-333-9090,Hydraulic Tube Assembly,372,208.87,77699.64,SUP-007,Blue Ridge Components,SC-SEA,03,Aviation-Depot,CON-3371,17,Delivered
DLA-ORD-100141,2024-01-05,5320-00-987-6543,Rivet Assembly,583,0.87,507.21,SUP-002,Mock Vendor Y,SC-GROUND,03,FOB-West,CON-8892,16,Delivered
DLA-ORD-100142,2024-12-23,2990-00-832-1190,Fuel Pump Module,654,394.36,257911.44,SUP-001,Mock Vendor X,SC-GROUND,05,CONUS-Depot,CON-2375,17,Delivered
DLA-ORD-100143,2023-10-20,5998-01-444-1122,Control Circuit Card,894,908.42,812127.48,SUP-003,Mock Vendor Z,SC-EXPEDITE,01,CONUS-Depot,CON-1129,25,Delivered
DLA-ORD-100144,2025-07-10,4820-00-111-2222,Legacy Valve,12,495.39,5944.68,SUP-001,Mock Vendor X,SC-AIR,04,Port-Hub,CON-3004,17,Delivered
